ID,B,C,Value
Westmont Hilltop SD,Blended,8/26/2020,District Plan
Susquehanna Community SD,In-Person,8/31/2020,District Plan
Western Wayne SD,In-Person,9/8/2020,District Plan
Warrior Run SD,In-Person,8/20/2020,District Plan
Warwick SD,In-Person,9/1/2020,District Plan
South Park SD,Blended,8/31/2020,District Plan
South Side Area SD,In-Person,9/1/2020,District Plan
South Western SD,Blended,8/24/2020,District Plan
South Williamsport Area SD,Blended,9/2/2020,District Plan
Southeast Delco SD,Remote,9/8/2020,District Plan
Southeastern Greene SD,Blended,8/27/2020,District Plan
Southern Columbia Area SD,In-Person,8/25/2020,District Plan
Southern Fulton SD,In-Person,8/19/2020,District Plan
Union City Area SD,In-Person,8/25/2020,District Plan
Uniontown Area SD,Remote,9/8/2020,District Plan
Unionville-Chadds Ford SD,Remote,9/8/2020,District Plan
United SD,In-Person,8/26/2020,District Plan
Upper Adams SD,Blended,8/19/2020,District Plan
Upper Darby SD,Remote,8/31/2020,District Plan
Upper Dauphin Area SD,In-Person,8/24/2020,District Plan
Wattsburg Area SD,Blended,9/8/2020,District Plan
Wayne Highlands SD,In-Person,9/8/2020,District Plan
Waynesboro Area SD,Blended,8/31/2020,District Plan
Weatherly Area SD,Remote,8/31/2020,District Plan
Tunkhannock Area SD,Blended,9/9/2020,District Plan
Turkeyfoot Valley Area SD,In-Person,9/1/2020,District Plan
Upper Dublin SD,Remote,9/8/2020,District Plan
Wellsboro Area SD,In-Person,8/31/2020,District Plan
West Allegheny SD,In-Person,8/25/2020,District Plan
West Branch Area SD,Blended,8/27/2020,District Plan
West Chester Area SD,Remote,8/31/2020,District Plan
West Greene SD,In-Person,8/27/2020,District Plan
Tuscarora SD,Blended,8/31/2020,District Plan
Tussey Mountain SD,In-Person,8/24/2020,District Plan
West Jefferson Hills SD,Blended,8/24/2020,District Plan
Yough SD,In-Person,8/31/2020,District Plan
West Middlesex Area SD,In-Person,8/31/2020,District Plan
West Mifflin Area SD,In-Person,8/26/2020,District Plan
New Hope-Solebury SD,Remote,9/8/2020,District Plan
Wilkinsburg Borough SD,Remote,8/31/2020,District Plan
Williams Valley SD,Blended,8/31/2020,District Plan
Williamsburg Community SD,Blended,8/24/2020,District Plan
